camp_name,camp_url,camp_img_url,address,postal_code,lat,long,earliest_open_date,latest_open_date,full_season,overnight_site,roofed_lodging,tenting_available,total_sites,overnight_sites,seasonal_sites,max_amperage,electrical_water_sewer,electrical_water,electrical,no_services,max_length_of_rv,activities,accessible_facilities,boating,cable_tv,controlled_access,credit_debit_cards,dumping,group_camping,hot_tub,hotspot,wifi_at_site,laundromat,pet_friendly,planned_activities,playground,propane,pull_thru_sites,rec_hall,restaurant,store,indoor_pool,lake_river_beach,outdoor_pool,toilets_pit_outside,toilets_showers
Emerald Lake Trailer Resort & Water Park,https://campinginontario.ca/EmeraldLakeIncTrailerResortAndWaterPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/116Emerald%20Lake%201.jpg,"7248 Gore Rd, RR 2, Puslinch, Ontario, N0B 2J0",N0B 2J0,43.41295,-80.12922,2020-05-01,2020-10-15,1,1,1,1,250,40,210,50,230,18,0,2,50,"Basketball, Boat rental (non-motorized), Dances, Horseshoes, Skateboard/rollerblade park, Swimming (lake, river), Volleyball, Water park",1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
Family Paradise Campground,https://campinginontario.ca/FamilyParadiseCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/120Family%20Paradise%20Campground%201.JPG,"43835 Hullett McKillop Line, RR 4, Walton, Ontario, N0K 1Z0",N0K 1Z0,43.62415,-81.25896,2020-05-01,2020-10-18,1,1,1,0,223,43,180,30,192,31,0,0,40,"Baseball, Fishing, Horseshoes, Shuffleboard, Soccer, Swimming (lake, river), Volleyball",0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1
Fernbrook Resort,https://campinginontario.ca/FernbrookResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/526905-659-7784.JPG,"57 Conc 12 E, Freelton, Ontario, L0R 1K0",L0R 1K0,43.41551,-80.04506,2020-05-01,2020-10-31,1,1,1,1,100,5,95,30,95,5,0,0,35,"Dances, Day use, Fishing, Fitness, Horseshoes, Swimming (lake, river), Volleyball, Walking/hiking trails",1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1
Fisherman's Cove Tent & Trailer Park,https://campinginontario.ca/FishermansCoveTentAndTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/125_M158212.jpg,"13 Southline Ave, RR 4, Kincardine, Ontario, N2Z 2X5",N2Z 2X5,44.07698,-81.42036,2020-05-01,2020-10-01,1,1,1,0,523,120,403,50,513,10,0,0,45,"Basketball, Boat rental (motorized), Boat rental (non-motorized), Fishing, Pedal carts, Shuffleboard, Swimming (lake, river), Volleyball",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Fisherman's Paradise Resort,https://campinginontario.ca/FishermansParadiseResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/2691Family%20Paradise%20Resort1.jpg,"1571 13th Line St E, Marmora, Ontario, K0K 2M0",K0K 2M0,44.38756,-77.80238,2020-05-15,2020-10-15,1,1,0,1,84,4,80,50,70,0,0,14,"
","Fishing, Golf, Motorboats allowed, Swimming (lake, river), Walking/hiking trails",1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Friendly Acres Park,https://campinginontario.ca/FriendlyAcresPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/127Friendly%20Acres%201.JPG,"278 Friendly Acres Rd, Hastings, Ontario, K0L 1Y0",K0L 1Y0,44.34712,-77.9044,2020-05-10,2020-10-12,1,1,1,0,104,10,94,30,104,0,0,0,40,"Dances, Fishing, Horseshoes, Volleyball",0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1
Glenrock Cottages & Trailer Park,https://campinginontario.ca/GlenrockCottagesAndTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/132Glenrock%20Cottages%20and%20Trailer%20Park%201.jpg,"100 Glenrock Rd, Sturgeon Falls, Ontario, P2B 2M5",P2B 2M5,46.3295,-79.93826,2020-05-15,2020-10-15,1,1,1,1,124,25,99,50,124,0,0,0,65,"Boat rental (motorized), Motorboats allowed, Boat rental (non-motorized), Fishing, Horseshoes, Shuffleboard, Swimming (lake, river)",0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
Golden Beach Resort,https://campinginontario.ca/GoldenBeachResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/134Golden%20Beach%201.jpg,"7100 County Rd 18, RR 2, Roseneath, Ontario, K0K 2X0",K0K 2X0,44.15191,-78.16034,2020-05-01,2020-10-15,1,1,1,1,340,90,250,50,320,0,0,20,45,"Boat rental (motorized), Boat rental (non-motorized), Cycling, Fishing, Restaurants, Snowmobiling, Walking/hiking trails",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
Grand Oaks RV Resort,https://campinginontario.ca/GrandOaksRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/140Grand%20Oaks%20Carefree%20RV%20Resort.JPG,"107 Haldimand Hwy 54, Cayuga, Ontario, N0A 1E0",N0A 1E0,42.96145,-79.86099,2020-05-01,2020-10-31,1,1,0,1,282,30,252,30,252,17,0,13,40,"Basketball, Dances, Fishing, Horseshoes, Soccer, Swimming (lake, river), Volleyball, Walking/hiking trails",1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
Grangeways RV Park & Family Campground,https://campinginontario.ca/GrangewaysRVParkAndFamilyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/141Grangeways%201.jpg,"9700 3rd Conc Rd, Sandford, Ontario, L0C 1E0",L0C 1E0,44.14117,-79.23971,2020-05-01,2020-10-12,1,1,0,0,300,50,250,30,300,0,0,0,40,"Horseshoes, Basketball, Dances, Fishing, Fitness, Table tennis, Volleyball, Golf (mini)",0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1
Granite Ridge Wilderness Campground,https://campinginontario.ca/GraniteRidgeWildernessCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/142Granite%20Ridge%20Wilderness%20Campground.jpg,"2900 Hwy 518 E, RR 1, Kearney, Ontario, P0A 1M0",P0A 1M0,45.53663,-79.23263,2020-05-21,2020-09-01,0,1,0,1,92,92,0,30,16,19,0,57,45,"ATV-friendly, Basketball, Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Volleyball, Walking/hiking trails",0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1
Gravenhurst/Muskoka KOA,https://campinginontario.ca/GravenhurstMuskokaKOA,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/143Gravenhurst%20KOA%201.jpg,"1083 Reay Rd E, RR 3, Gravenhurst, Ontario, P1P 1R3",P1P 1R3,44.95804,-79.31867,2020-05-08,2020-10-17,1,1,1,1,155,95,60,30,40,97,6,12,50,"Boat rental (non-motorized), Volleyball, Fishing, Golf, Horseshoes, Pedal carts",0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
Great Canadian Hideaway,https://campinginontario.ca/GreatCanadianHideaway,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/144Great%20Canadian%20Hideaway.JPG,"32910 Centre Rd, RR 4, Parkhill, Ontario, N0M 2K0",N0M 2K0,43.15842,-81.65957,2020-05-01,2020-10-12,1,1,0,1,147,75,72,30,2,124,0,21,50,"Basketball, Boat rental (non-motorized), Dances, Fishing, Theatre (live), Vehicle racing, Volleyball, Walking/hiking trails",0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1
Green Acre Park,https://campinginontario.ca/GreenAcrePark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/145Green%20Acre%20Park.jpg,"580 Beaver Creek Rd, Waterloo, Ontario, N2J 3Z4",N2J 3Z4,43.48542,-80.58981,2020-03-01,2020-12-31,1,1,1,0,347,93,254,50,314,33,0,0,44,"Badminton, Farmers' market/stands, Fishing, Golf (mini), Movies, Pedal carts, Table tennis, Volleyball",0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1
Green Acres Campground & RV Park,https://campinginontario.ca/GreenAcresCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/146Green%20Acres%20Campground.JPG,"RR 1, 2310 Conc 12 Huron Kinloss, Kincardine, Ontario, N2Z 2X3",N2Z 2X3,44.14266,-81.65084,2020-05-01,2020-10-15,1,1,0,1,196,55,141,30,177,16,0,3,45,"Basketball, Horseshoes, Shuffleboard, Volleyball, Walking/hiking trails",0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1
Gullwing Lake Park,https://campinginontario.ca/GullwingLakePark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/150Gullwing%20wide%20angle.jpg,"1025 Gullwing Lake Rd, Torrance, Ontario, P0C 1M0",P0C 1M0,44.98174,-79.54393,2020-05-10,2020-10-15,1,1,1,1,102,11,91,30,88,0,0,14,40,"Boat rental (motorized), Boat rental (non-motorized), Day use, Fishing, Horseshoes, Motorboats allowed, Volleyball, Walking/hiking trails",0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
Happy Hollow Campground Inc. & RV sales,https://campinginontario.ca/HappyHollowCampgroundIncRVSales,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/4709Happy%20Hollow%201.jpg,"70 Drury Lane, Goderich, Ontario, N7A 3X9",N7A 3X9,43.87833,-81.70781,2020-05-01,2020-10-19,1,1,1,1,120,10,110,30,110,5,0,5,40,"Basketball, Horseshoes, Badminton, Fishing, Movies, Swimming (lake, river), Table tennis, Volleyball",0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Harbour Side Family Trailer Park,https://campinginontario.ca/HarbourSideFamilyTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/156Harbour%20Side%20Family%20Trailer%20Park.JPG,"7477/7487 Riverside Dr, Port Franks, Ontario, N0M 2L0",N0M 2L0,43.23196,-81.89834,2020-05-01,2020-10-18,1,0,0,0,170,0,170,30,170,0,0,0,38,"Cycling, Basketball, Dances, Golf, Horseshoes, Shopping, Shuffleboard, Walking/hiking trails",1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1
Heritage Trails Campground,https://campinginontario.ca/HeritageTrailsCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/651Marmora%20KOA.JPG,"178 KOA Campground Rd, RR 2, Marmora, Ontario, K0K 2M0",K0K 2M0,44.48897,-77.62502,2020-05-01,2020-10-15,1,1,1,1,160,51,109,30,3,145,0,12,70,"ATV-friendly, Golf (mini), Horseshoes, Volleyball, Walking/hiking trails",0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
Hidden Valley RV Resort,https://campinginontario.ca/HiddenValleyRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/160Hidden%20Valley%20Carefree%20RV%20Resort.JPG,"61 Mole Side Road, Normandale, Ontario, N0E 1W0",N0E 1W0,42.71027,-80.32661,2020-05-01,2020-10-31,1,1,0,1,246,37,209,30,209,27,0,10,40,"Horseshoes, Pedal carts, Shuffleboard, Wildlife viewing/birding, Ziplining, Basketball, Fitness",1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1
Highland Pines Campground & RV Sales,https://campinginontario.ca/HighlandPinesCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/162DJI_0006.JPG,"8523 Wellington Rd 19, Belwood, Ontario, N0B 1J0",N0B 1J0,43.77791,-80.33759,2020-05-01,2020-10-12,1,1,1,1,730,127,603,50,649,58,0,23,45,"Basketball, Dances, Fishing, Motorboats allowed, Mountain biking, Shuffleboard, Volleyball, Water park",1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Holiday Park,https://campinginontario.ca/HolidayPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/169Holiday%20Park%201.jpg,"552 High St, Southampton, Ontario, N0H 2L0",N0H 2L0,44.48856,-81.35365,2020-05-01,2020-10-18,1,1,1,1,289,15,274,30,285,4,0,0,30,"Baseball, Dances, Fishing, Golf, Tennis, Walking/hiking trails",0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
Hope Bay Campground,https://campinginontario.ca/HopeBayCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/172tent%20site%20510.jpg,"2 Hope Bay Rd, South Bruce Peninsula, Ontario, N0H 2T0",N0H 2T0,44.90349,-81.15626,2020-05-05,2020-10-15,1,1,1,1,92,32,60,30,63,8,0,21,40,"Boat rental (non-motorized), Cycling, Museum/heritage sites, Rock climbing/bouldering, Soccer, Spelunking/cave exploration, Swimming (lake, river), Walking/hiking trails",1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
Horseshoe Lake Camp & Cottages,https://campinginontario.ca/HorseshoeLakeCampAndCottages,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/173Web%20Picture%20-%20Evening%20-%20Copy.jpg,"55 N Sandy Plains Rd, Seguin, Ontario, P2A 2W8",P2A 2W8,45.29667,-79.8134,2020-05-15,2020-10-15,1,1,1,1,184,24,160,50,40,134,0,10,40,"Boat rental (motorized), Boat rental (non-motorized), Fishing, Golf (mini), Motorboats allowed, Swimming (lake, river), Volleyball, Walking/hiking trails",0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1
Inn on the Lake Trailer Park,https://campinginontario.ca/InnOnTheLakeTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/174Inn%20On%20The%20Lake%205.jpg,"1323 North Muldrew Lake Rd, Gravenhurst, Ontario, P1P 1V5",P1P 1V5,44.90002,-79.40671,2020-05-15,2020-10-15,1,0,0,0,50,0,50,50,50,0,0,0,50,"Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Walking/hiking trails",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Jordan Valley Campground,https://campinginontario.ca/JordanValleyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/186905-562-7816.jpg,"3902 21st St, Jordan, Ontario, L0R 1S0",L0R 1S0,43.15201,-79.37516,2020-05-01,2020-10-15,1,1,0,1,113,76,37,30,46,10,0,57,40,"Casino, Cycling, Farmers' market/stands, Fishing, Golf, Theatre (live), Walking/hiking trails, Wine tours",0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
Kilsyth Country Campground,https://campinginontario.ca/KilsythCountryCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/189fullsizeoutput_2881.jpeg,"101739 Grey Rd 5, RR 4, Owen Sound, Ontario, N4K 5N5",N4K 5N5,44.51319,-81.02992,2020-05-15,2020-10-15,1,1,1,1,78,12,66,50,73,5,0,0,45,"Cycling, Dances, Fishing, Museum/heritage sites, Music Festival, Restaurants, Walking/hiking trails, Wildlife viewing/birding",1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
Klondyke Trailer Park,https://campinginontario.ca/KlondykeTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/192Klondyke%20Trailer%20Park.jpg,"9921 Lakeshore Rd, Grand Bend, Ontario, N0M 1T0",N0M 1T0,43.27933,-81.78446,2020-05-01,2020-10-15,1,1,1,0,460,15,445,50,460,0,0,0,45,"Farmers' market/stands, Golf, Movies, Restaurants, Shopping, Swimming (lake, river), Walking/hiking trails",0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
Knight's Hide-Away Park,https://campinginontario.ca/KnightsHide-AwayPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/194Knights%20Hidaway%20Park%201.JPG,"1154 Gorham Rd, Ridgeway, Ontario, L0S 1N0",L0S 1N0,42.90584,-79.05781,2020-05-01,2020-10-30,1,1,1,1,151,65,86,30,101,32,0,18,80,"Horse racing, Museum/heritage sites, Pedal carts, Vehicle racing, Wine tours, Casino, Cycling, Dances",0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1
Lafontaine RV Resort,https://campinginontario.ca/LafontaineRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/196Lafontaine%20Carefree%20RV%20Resort.JPG,"240 Lafontaine Rd E, Tiny, Ontario, L9M 0S2",L9M 0S2,44.77998,-80.01011,2020-05-01,2020-10-31,1,1,0,1,263,91,172,50,188,28,0,47,40,"Badminton, Basketball, Horseshoes, Movies, Pedal carts, Volleyball, Walking/hiking trails",0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
Lagoon Tent & Trailer Park,https://campinginontario.ca/LagoonTentAndTrailerPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/197Lagoon%20Tent%20and%20Trailer%20Park%201.jpg.PNG,"100 Lagoon Trailer Park Rd, Huntsville, Ontario, P1H 2J4",P1H 2J4,45.37408,-79.21498,2020-05-08,2020-10-12,1,1,1,1,107,55,52,30,36,33,0,38,45,"ATV-friendly, Boat rental (non-motorized), Golf (mini), Horseshoes, Swimming (lake, river), Volleyball, Walking/hiking trails",0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1
Lake Avenue RV Resort,https://campinginontario.ca/LakeAvenueRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/198Lake%20Avenue%20Carefree%20RV%20Resort.JPG,"37 Lake Avenue Lane, RR 1, Cherry Valley, Ontario, K0K 1P0",K0K 1P0,43.89548,-77.20114,2020-05-01,2020-10-31,1,1,1,0,116,8,108,30,116,0,0,0,40,"Basketball, Boat rental (non-motorized), Fishing, Golf, Golf (mini), Horseshoes, Motorboats allowed, Museum/heritage sites",1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1
Lake Dore RV Resort,https://campinginontario.ca/LakeDoreRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/201Lake%20Dore%20RV%20Resort.jpg,"130 Camelot Ln, Eganville, Ontario, K0J 1T0",K0J 1T0,45.59506,-77.13398,2020-05-15,2020-10-12,1,1,1,1,160,14,146,50,151,3,0,6,40,"Boat rental (motorized), Boat rental (non-motorized), Fishing, Golf, Horseshoes, Movies, Shopping, Swimming (lake, river)",1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
Lakewood Christian Campground,https://campinginontario.ca/LakewoodChristianCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/208Plympton%20Wyoming.jpg,"4297 Lakeshore Rd, Town of Plympton Wyoming, Ontario, N0N 1J6",N0N 1J6,43.06635,-82.15284,2020-05-01,2020-10-15,1,1,1,1,292,50,242,50,287,1,0,4,50,"Fishing, Horseshoes, Shuffleboard, Soccer, Swimming (lake, river), Tennis, Volleyball, Walking/hiking trails",1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Lancaster Park Outdoor Resort,https://campinginontario.ca/LancasterParkOutdoorResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/536Lancaster%20Park%20Outdoor%20Resort.jpg,"20716 South Service Rd, Lancaster, Ontario, K0C 1N0",K0C 1N0,45.15145,-74.47022,2020-05-01,2020-10-19,1,1,1,1,354,54,300,50,100,246,0,8,45,"Dances, Fishing, Horseshoes, Motorboats allowed, Restaurants, Shuffleboard, Swimming (lake, river), Volleyball",0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Lands End Park,https://campinginontario.ca/LandsEndPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/214Lands%20End%20Park.jpg,"59 Corey Cres, Tobermory, Ontario, N0H 2R0",N0H 2R0,45.23938,-81.68271,2020-05-01,2020-10-12,1,1,1,1,121,91,30,50,0,99,0,22,40,"Basketball, Boat rental (non-motorized), Fishing, Pedal carts, Soccer, Volleyball, Walking/hiking trails, Wildlife viewing/birding",0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
Leisure Lake Cottage & RV Resort - Parkbridge,https://campinginontario.ca/LeisureLakeCottageandRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/218Leisure%20Lake%20Cottage%20and%20RV%20Resort.JPG,"510 County Rd 31, Ruthven, Ontario, N0P 2G0",N0P 2G0,42.05496,-82.67203,2020-04-24,2020-10-31,1,1,1,1,382,62,320,50,382,0,0,0,40,"Golf (mini), Baseball, Basketball, Boat rental (non-motorized), Horseshoes, Soccer, Walking/hiking trails, Fishing",1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1
Leisure Time Park & Trailer Sales,https://campinginontario.ca/LeisureTimeParkAndTrailerSalesInc,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/219905-880-4921.jpg,"18478 Duffys Lane, Caledon, Ontario, L7E 3C4",L7E 3C4,43.9659,-79.88065,2020-04-24,2020-10-25,1,1,1,1,228,40,188,30,10,212,0,6,50,"Amusement park, Basketball, Fishing, Volleyball, Walking/hiking trails",1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
Logos Land Resort,https://campinginontario.ca/LogosLandResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/541Logos%20Land%20Resort.jpg,"15906 Hwy 17, Cobden, Ontario, K0J 1K0",K0J 1K0,45.59978,-76.84434,2020-05-15,2020-10-01,1,1,1,1,219,169,50,50,65,85,29,40,40,"Boat rental (non-motorized), Day use, Golf, Golf (mini), Swimming (lake, river), Walking/hiking trails, Water park, Ziplining",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1
Maple Ridge Family Campground,https://campinginontario.ca/MapleRidgeFamilyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/652mapleridge%20web.jpg,"4510 Highway 6, Miller Lake, Ontario, N0H 1Z0",N0H 1Z0,45.07573,-81.41911,2020-05-08,2020-10-25,1,1,1,1,70,58,12,30,12,22,0,36,"
","Walking/hiking trails, Boat rental (motorized), Boat rental (non-motorized), Boat tours (scenic), Fishing, Horseback riding, Restaurants, Scuba diving",0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
Milton Heights Campground Ltd,https://campinginontario.ca/MiltonHeightsCampgroundLtd,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/257Milton%20Heights%201.jpg,"8690 Tremaine Rd, Milton, Ontario, L9E 0E2",L9E 0E2,43.52269,-79.9367,2020-01-01,2020-12-31,1,1,1,1,202,162,40,50,116,46,0,40,45,"Basketball, Cycling, Horseshoes, Volleyball",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1
Minakwa Lodge,https://campinginontario.ca/MinakwaLodge,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/546Minakwa%203.JPG,"Lot 2 Conc 8, Mattagami Township, Gogama, Ontario, P0M 1W0",P0M 1W0,47.78626,-81.53538,2020-05-01,2020-10-31,1,1,1,0,79,1,78,30,79,0,0,0,45,"ATV-friendly, Boat rental (motorized), Fishing, Hunting, Walking/hiking trails, Water park",1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Mississippi Lake RV Resort,https://campinginontario.ca/MississippiLakeRVResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/3707mississippi-lake-r-v-resort-8.jpg,"562 Townline Rd W, Carleton Place, Ontario, K7C 3P1",K7C 3P1,45.12708,-76.17517,2020-05-01,2020-09-30,1,1,1,0,138,3,135,30,138,0,0,0,36,"Basketball, Fishing, Horseshoes, Swimming (lake, river), Volleyball",0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1
Muskoka Ridge Trailer Park,https://campinginontario.ca/MuskokaRidgeTrailerParkLtd,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/264Muskoka%20Ridge%20Trailer%20Park%201.jpg,"1005 Stephens Bay Rd, Bracebridge, Ontario, P1L 1X2",P1L 1X2,45.02019,-79.35393,2020-05-08,2020-10-13,1,1,1,0,100,15,85,50,99,1,0,0,45,"Amusement park, Basketball, Boat rental (non-motorized), Boat tours (scenic), Fishing, Horseshoes, Volleyball, Walking/hiking trails",0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1
Nith River Campground,https://campinginontario.ca/NithRiverCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/270519-662-3784.png,"4417 Wilmot Easthope Rd, New Hamburg, Ontario, N3A 3S8",N3A 3S8,43.4065,-80.7372,2020-05-01,2020-10-17,1,1,1,1,135,15,120,50,129,4,0,2,40,"Dances, Day use, Fishing, Horseshoes, Volleyball, Walking/hiking trails, Basketball",1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1
Noelville Family Resort,https://campinginontario.ca/NoelvilleFamilyResort,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/271Noelville%20Family%20Resort.JPG,"489 Prevost Rd, PO Box 369, Noelville, Ontario, P0M 2N0",P0M 2N0,46.15332,-80.40293,2020-05-01,2020-09-30,1,1,1,0,83,2,81,30,83,0,0,0,38,"Boat rental (motorized), Boat rental (non-motorized), Fishing, Horseshoes, Motorboats allowed, Museum/heritage sites, Restaurants, Swimming (lake, river)",0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1
North Shore RV Park,https://campinginontario.ca/NorthShoreRVPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/275North%20Shore%201.jpg,"1675 County Rd 64, RR 2, Carrying Place (Quinte West), Ontario, K0K 1L0",K0K 1L0,44.03318,-77.62287,2020-05-01,2020-10-15,1,1,1,1,124,19,105,50,122,1,0,1,80,"Basketball, Boat rental (non-motorized), Cycling, Fishing, Horseshoes, Motorboats allowed, Pedal carts, Wine tours",1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1
Northwestern Tent & RV Park,https://campinginontario.ca/NorthwesternTentAndRVPark,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/550Northwestern%20Tent%20and%20RV%20Park.JPG,"559 Government St, Dryden, Ontario, P8N 2Y8",P8N 2Y8,49.7866,-92.81945,2020-04-15,2020-10-31,0,1,1,1,42,42,0,30,42,0,0,0,"
","Badminton, Basketball, Horseshoes, Restaurants, Shopping",0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
Oakridge Family Campground,https://campinginontario.ca/OakridgeFamilyCampground,https://campinginontario.ca/Uploads/Campgrounds/images/Standard/3708Oakrdige%207.jpg,"9910 Northville Crescent, Thedford, Ontario, N0M 2N0",N0M 2N0,43.22078,-81.87132,2020-05-01,2020-10-15,1,1,1,1,225,75,150,30,150,50,0,25,"
","Golf (mini), Horseshoes, Shuffleboard, Walking/hiking trails",1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1
